id,left,top,right,bottom,bus
4159496,1161456.035255016759038,1729387.256700000027195,1161686.975362692726776,1729187.256700000027195,2
2062409,952051.092619939357974,1865487.256700000027195,952282.032727615325712,1865287.256700000027195,2
3635669,1109148.100866436725482,1761187.256700000027195,1109379.040974112693220,1760987.256700000027195,0
3635671,1109148.100866436725482,1760787.256700000027195,1109379.040974112693220,1760587.256700000027195,2
3635670,1109148.100866436725482,1760987.256700000027195,1109379.040974112693220,1760787.256700000027195,4
3635673,1109148.100866436725482,1760387.256700000027195,1109379.040974112693220,1760187.256700000027195,0
3635675,1109148.100866436725482,1759987.256700000027195,1109379.040974112693220,1759787.256700000027195,0
3635648,1109148.100866436725482,1765387.256700000027195,1109379.040974112693220,1765187.256700000027195,0
3635651,1109148.100866436725482,1764787.256700000027195,1109379.040974112693220,1764587.256700000027195,3
1538762,899743.158231359440833,1861287.256700000027195,899974.098339035292156,1861087.256700000027195,0
2063761,952224.297700696391985,1941987.256700000027195,952455.237808372243308,1941787.256700000027195,0
2063760,952224.297700696391985,1942187.256700000027195,952455.237808372243308,1941987.256700000027195,2
2063750,952224.297700696391985,1944187.256700000027195,952455.237808372243308,1943987.256700000027195,4
2063747,952224.297700696391985,1944787.256700000027195,952455.237808372243308,1944587.256700000027195,3
2063759,952224.297700696391985,1942387.256700000027195,952455.237808372243308,1942187.256700000027195,3
2063758,952224.297700696391985,1942587.256700000027195,952455.237808372243308,1942387.256700000027195,0
2063735,952224.297700696391985,1947187.256700000027195,952455.237808372243308,1946987.256700000027195,3
2063728,952224.297700696391985,1948587.256700000027195,952455.237808372243308,1948387.256700000027195,2
2063743,952224.297700696391985,1945587.256700000027195,952455.237808372243308,1945387.256700000027195,5
2063742,952224.297700696391985,1945787.256700000027195,952455.237808372243308,1945587.256700000027195,2
2063736,952224.297700696391985,1946987.256700000027195,952455.237808372243308,1946787.256700000027195,0
2063719,952224.297700696391985,1950387.256700000027195,952455.237808372243308,1950187.256700000027195,1
2063715,952224.297700696391985,1951187.256700000027195,952455.237808372243308,1950987.256700000027195,5
2063725,952224.297700696391985,1949187.256700000027195,952455.237808372243308,1948987.256700000027195,1
2063727,952224.297700696391985,1948787.256700000027195,952455.237808372243308,1948587.256700000027195,2
2063726,952224.297700696391985,1948987.256700000027195,952455.237808372243308,1948787.256700000027195,3
2063721,952224.297700696391985,1949987.256700000027195,952455.237808372243308,1949787.256700000027195,2
2063720,952224.297700696391985,1950187.256700000027195,952455.237808372243308,1949987.256700000027195,0
2063707,952224.297700696391985,1952787.256700000027195,952455.237808372243308,1952587.256700000027195,8
2063689,952224.297700696391985,1956387.256700000027195,952455.237808372243308,1956187.256700000027195,5
4161225,1161629.240335773676634,1730287.256700000027195,1161860.180443449644372,1730087.256700000027195,1
4161305,1161629.240335773676634,1714287.256700000027195,1161860.180443449644372,1714087.256700000027195,2
4161306,1161629.240335773676634,1714087.256700000027195,1161860.180443449644372,1713887.256700000027195,0
2060291,951877.887539182673208,1942387.256700000027195,952108.827646858524531,1942187.256700000027195,5
2060290,951877.887539182673208,1942587.256700000027195,952108.827646858524531,1942387.256700000027195,3
