시도명,시군구,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월
서울특별시,강남구,16456,16439,16463,16461,16561,16637,16623,16589,16642,16691,16757,16806,16656,16530,16737,16632,16701,16961,17186,17344,17687,17752,17776,17910,17898,17902,17872,17828,17695,17695,16643,16626,16513,16490,16162,16269
서울특별시,강동구,16122,16122,16129,16181,16181,16234,16353,16324,16434,16525,16512,16515,16552,16540,16653,16755,16803,16847,16904,16906,16981,17003,16977,17026,17070,17139,17137,17242,17293,17293,17489,17621,17704,17751,17425,17383
서울특별시,강북구,21689,21670,21635,21672,21768,21783,21810,21818,21870,21876,21855,21828,21836,21845,21890,21913,21990,22040,22041,22097,22196,22195,22235,22243,22262,22214,22232,22243,22315,22315,22213,21698,21064,19494,18105,17602
서울특별시,강서구,18387,18382,18399,18466,18508,18499,18568,18581,18596,18586,18544,18480,18494,18484,18502,18614,18678,18763,18855,18883,19033,19050,19023,19002,18982,19030,19081,19168,19269,19269,19473,19601,19709,19814,19486,19483
서울특별시,관악구,24181,24150,24104,24109,24182,24225,24318,24374,24418,24402,24388,24267,24178,24149,24240,24353,24485,24522,24603,24697,24855,24907,24873,24898,24913,24949,25027,25109,25197,25197,24460,21121,21296,21311,21072,21073
서울특별시,광진구,18099,18050,18042,18028,18079,18091,18101,18117,18214,18195,18137,18087,18064,18054,18104,18185,18283,18337,18426,18432,18457,18500,18482,18451,18470,18473,18491,18498,18535,18535,18770,18870,18927,18972,18674,18642
서울특별시,구로구,15623,15624,15651,15678,15746,15763,15823,15868,15916,15956,15931,15467,15480,15456,15501,15509,15539,15566,15574,15639,15720,15749,15750,15693,15687,15662,15669,15616,15664,15664,15778,15073,14953,15024,14703,14691
서울특별시,금천구,11475,11435,11440,11448,11472,11493,11523,11492,11531,11516,11516,11534,11526,11537,11577,11616,11673,11708,11741,11745,11872,11877,11863,11879,11921,11909,11944,11980,12039,12039,12170,12219,12161,12273,12152,11253
서울특별시,노원구,14845,14822,14826,14813,14869,14873,14912,14946,14969,14941,14909,14857,14830,14812,14818,14911,14947,14950,14972,15002,15123,15154,15113,15079,15029,15049,15047,15099,15103,15103,15243,15374,15295,15276,15139,15121
서울특별시,도봉구,14553,14509,14533,14538,14571,14586,14628,14643,14700,14714,14705,14692,14634,14624,14641,14671,14708,14749,14741,14755,14804,14828,14867,14848,14808,14785,14813,14859,14907,14907,15055,14131,14175,14222,13533,13475
서울특별시,동대문구,23468,23434,23414,23435,23474,23464,23519,23534,23583,23615,23580,23535,23515,23533,23493,23536,23607,23629,23678,23690,23790,23813,23839,23807,23805,23782,23866,23954,24093,24093,24292,24313,24223,24300,23996,23968
서울특별시,동작구,14772,14794,14857,14886,14917,14933,14947,14937,15023,15007,14987,14965,14964,14972,14976,15028,15114,15170,15164,15210,15318,15300,15196,15142,15131,15135,15145,15167,15224,15224,15340,15421,15646,15669,15286,15290
서울특별시,마포구,16866,16823,16834,16880,16911,16969,17039,17065,17132,17132,17094,17049,17008,17012,17057,17091,17159,17254,17282,17312,17386,17471,17436,17425,17428,17443,17482,17598,17594,17594,17778,17886,17445,17601,17563,17594
