시도명,시군구,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월
서울특별시,종로구,152866,152880,152778,152495,152220,152026,151858,151766,151767,151541,151457,151290,151215,151309,151217,150936,150623,150383,150183,149962,149952,149703,149549,149384,149125,148884,147296,147113,146377,146029,145692,145551,145512,145346,145073,144683
서울특별시,중구,125872,125995,125942,125913,125808,126143,126414,126412,126409,126270,126209,126171,126201,126259,126175,126126,126120,126092,125970,125990,125800,125641,125505,125240,125038,124836,124552,124477,123133,123016,122951,122852,122858,122781,122673,122499
서울특별시,용산구,229167,229279,229168,228940,228926,229122,229155,229117,228830,228594,228507,228670,229385,229677,229579,229369,229393,229431,229432,229362,229786,230044,230151,230040,230045,230113,229013,228755,227515,226378,225977,224977,224145,223713,223442,222953
서울특별시,성동구,307723,307064,306404,305785,305436,304936,304292,303730,303158,302198,301527,300889,300410,299797,299042,298249,297820,297397,296896,296183,295591,294895,294272,293556,293103,292537,291906,291534,289656,289162,288703,288214,287820,287174,286599,285990
서울특별시,광진구,355382,355387,354873,354344,354158,353878,353206,353002,352692,352204,351699,351350,351263,351032,350417,350016,349800,349574,349258,348647,348064,347615,347285,346682,346067,345248,343392,343006,342812,342481,342111,341505,341112,340814,340339,339996
서울특별시,동대문구,347415,347459,346750,346312,346301,346501,346524,346649,346551,346152,346166,346194,346080,346072,346156,345793,345815,345593,345156,344650,344416,343819,343377,342837,342034,341756,338875,338480,338233,338040,337946,337857,337846,337538,337316,337400
서울특별시,중랑구,402974,402616,402203,401546,400933,400661,399878,399195,398812,397938,397297,397015,396755,396314,395619,395072,394982,394414,394293,395788,395997,395572,395194,394702,394532,393933,392041,391502,390476,389972,389428,388911,388554,388218,387667,387350
서울특별시,성북구,435270,435754,438245,439754,440082,440397,441170,441503,441590,443000,443111,442650,442471,442483,442494,442174,442148,441812,441188,440395,439719,438973,438051,437153,437684,437961,434826,434383,433988,433658,433361,432815,432628,432081,431313,430528
서울특별시,강북구,318761,318268,317386,316604,316044,315587,315003,314538,314090,314189,314306,313954,313705,313289,312985,312691,312270,311773,311198,310555,309996,309245,308569,308055,307487,306639,304078,303622,303154,302645,302113,301430,300887,300278,299792,299182
서울특별시,도봉구,338834,338373,337820,337346,337072,336698,336288,335801,335280,334553,333902,333362,332753,332083,331238,330707,330149,329560,328822,328014,327248,326617,326082,325257,324281,323431,321717,321227,320687,320365,319893,319211,318718,318299,317943,317366
서울특별시,노원구,542744,541800,541174,539884,539130,538350,537146,535920,535282,533904,533498,532905,532662,531840,531037,530302,529617,528887,527981,526718,525486,524515,523708,523037,521852,520366,518278,517417,516552,515997,515198,514050,513053,512129,511275,510956
서울특별시,은평구,483513,484070,484274,484267,483972,483730,483084,481856,481663,481218,480701,480032,479457,479005,478019,477973,478029,479524,481184,481729,481546,481165,480617,479835,479223,478336,475501,474843,475143,475371,475008,474414,474062,473369,473468,473307
서울특별시,서대문구,310809,311700,311771,311586,311308,311215,310795,310477,310069,309637,309312,309397,310353,311327,312642,312809,312869,312720,312264,312632,313212,312781,312325,312173,311720,311132,308482,307825,307406,307070,306839,306472,306249,305840,305443,304819
서울특별시,마포구,375272,375372,375106,374824,374719,374422,373756,373200,373629,373852,374028,374035,373951,374315,374570,374426,374837,374390,374036,373620,373508,372905,372320,371890,371492,371200,368518,369577,369970,370132,370185,370053,369903,369695,369238,368905
