사고번호,기온,강수량,풍속
2019010100100002,-5.5,0.0,1.0
2019010100100141,-3.7,0.0,2.5
2019010100100170,-1.5,0.0,2.7
2019010100100236,-1.8,0.0,2.2
2019010100100249,-2.7,0.0,2.6
2019010100100272,-3.2,0.0,3.2
2019010100100277,-3.2,0.0,3.2
2019010100100301,-3.9,0.0,3.5
2019010100100302,-3.9,0.0,3.5
2019010100100303,-3.9,0.0,3.5
2019010100100346,-6.0,0.0,1.1
2019010200100083,-8.5,0.0,0.7
2019010200100167,-4.1,0.0,2.2
2019010200100169,-4.1,0.0,2.2
2019010200100184,-2.8,0.0,3.2
2019010200100185,-2.8,0.0,3.2
2019010200100237,-0.2,0.0,2.5
2019010200100240,-0.2,0.0,2.5
2019010200100264,0.0,0.0,2.6
2019010200100270,0.0,0.0,2.6
2019010200100322,-1.0,0.0,1.8
2019010200100360,-2.6,0.0,2.2
2019010200100363,-2.6,0.0,2.2
2019010200100423,-3.3,0.0,2.0
2019010200100453,-3.9,0.0,1.1
2019010200100455,-3.9,0.0,1.1
2019010200100456,-3.9,0.0,1.1
2019010200100475,-4.4,0.0,1.7
2019010200100476,-4.4,0.0,1.7
2019010200100497,-4.3,0.0,2.0
2019010300100026,-5.4,0.0,2.4
2019010300100074,-8.1,0.0,1.7
2019010300100100,-8.4,0.0,0.9
2019010300100101,-8.4,0.0,0.9
2019010300100122,-7.7,0.0,0.5
2019010300100173,-2.4,0.0,1.3
2019010300100194,-0.4,0.0,1.9
2019010300100196,-0.4,0.0,1.9
2019010300100228,1.1,0.0,1.4
2019010300100248,2.4,0.0,1.9
2019010300100282,2.9,0.0,2.3
2019010300100314,3.2,0.0,1.7
2019010300100368,-0.4,0.0,1.6
2019010300100424,-0.9,0.0,2.0
2019010300100451,-1.7,0.0,1.5
2019010300100506,-3.9,0.0,1.3
2019010400100028,-4.1,0.0,0.4
2019010400100031,-4.1,0.0,0.4
2019010400100093,-6.1,0.0,1.1
2019010400100151,-3.5,0.0,0.7
2019010400100199,-0.4,0.0,0.7
2019010400100220,1.1,0.0,1.5
2019010400100222,1.1,0.0,1.5
2019010400100243,3.1,0.0,2.5
2019010400100315,2.7,0.0,1.3
2019010400100317,2.7,0.0,1.3
2019010400100318,2.7,0.0,1.3
2019010400100349,2.3,0.0,1.5
2019010400100350,2.3,0.0,1.5
2019010400100403,1.5,0.0,1.0
2019010400100409,1.5,0.0,1.0
2019010400100410,1.5,0.0,1.0
